winery,wine_type,city,country,wine_name,year,overall_rating,overall_rating_count,price,light_bold,smooth_tannic,dry_sweet,soft_acidic
Domaine Génot-Boulanger,Red wine,Pommard,France,Vieilles Vignes Pommard,2017,4.3,26,79,30.1895,20.4607,3.08367,66.3438
Château Giscours,Red wine,Margaux,France,Château Giscours (Grand Cru Classé),2014,4.2,1602,75.99,60.0211,61.0817,4.5644,69.5814
Tinto Pesquera,Red wine,Ribera del Duero,Spain,Reserva,2015,4.2,1324,72,63.1257,53.3404,8.57389,57.7303
Penfolds,Red wine,South Australia,Australia,Bin 407 Cabernet Sauvignon,2016,4.2,1125,79.99,64.0594,52.5509,7.41684,49.1143
E. Guigal,Red wine,Côte-Rôtie,France,Côte-Rôtie Brune & Blonde de Guigal,2016,4.2,1085,79,70.4388,63.9338,2.67572,62.1257
Esporão,Red wine,Alentejo,Portugal,Esporão Private Selection Tinto,2013,4.2,885,74.99,72.6558,43.9067,9.45035,39.4869
Château Rouget,Red wine,Pomerol,France,Pomerol,2012,4.2,641,79.99,74.0779,52.5723,7.48108,48.7571
Château Dassault,Red wine,Saint-Émilion Grand Cru,France,Saint-Émilion Grand Cru (Grand Cru Classé),2015,4.2,574,74.95,73.3926,55.403,5.12906,49.9641
Château Ducru-Beaucaillou,Red wine,Saint-Julien,France,Croix de Beaucaillou Saint-Julien,2014,4.2,553,78.99,61.9352,60.7569,3.94852,70.0566
Torbreck,Red wine,Barossa Valley,Australia,The Struie,2015,4.2,548,78.99,80,46.1788,20.3109,41.4885
Château Bellegrave,Red wine,Pomerol,France,Pomerol,2010,4.2,496,70,70.5213,52.1295,3.58362,48.3586
Château Léoville Las Cases,Red wine,Saint-Julien,France,Clos du Marquis Saint-Julien,2014,4.2,485,78.99,60.4071,60.9494,6.28516,69.2427
Château La Croix,Red wine,Pomerol,France,Pomerol,2011,4.2,338,78.99,72.1021,51.4964,6.06002,50.2094
Two Hands,Red wine,McLaren Vale,Australia,Lily's Garden Shiraz,2017,4.2,314,72.99,80,41.9593,21.1655,39.9105
Château Léoville Las Cases,Red wine,Saint-Julien,France,Clos du Marquis Saint-Julien,2016,4.2,289,79.99,60.4071,60.9494,6.28516,69.2427
Clos de l'Oratoire,Red wine,Saint-Émilion Grand Cru,France,Saint-Émilion Grand Cru (Grand Cru Classé),2016,4.2,287,74.99,70.7599,50.5013,6.22377,47.0723
Paul Jaboulet Aîné,Red wine,Hermitage,France,Hermitage 'La Maison Bleue',2016,4.2,274,79.99,80,63.9099,6.6099,52.8749
Château Chauvin,Red wine,Saint-Émilion Grand Cru,France,Saint-Émilion Grand Cru (Grand Cru Classé),2009,4.2,268,79.99,71.6531,53.7294,4.89597,49.5152
Joseph Drouhin,Red wine,Chambolle-Musigny,France,Chambolle-Musigny,2015,4.2,261,79.99,36.9183,27.8896,4.36027,74.3417
Louis Latour,Red wine,Aloxe-Corton 1er Cru 'Les Chaillots',France,Aloxe-Corton 1er Cru 'Les Chaillots',2014,4.2,257,78.99,33.0135,25.5749,2.32062,60.8659
Château Villemaurine,Red wine,Saint-Émilion Grand Cru,France,Saint-Émilion Grand Cru (Grand Cru Classé),2009,4.2,236,73.99,71.8077,54.7708,6.04411,48.0463
Château Rauzan-Ségla,Red wine,Margaux,France,Ségla Margaux,2015,4.2,225,74.99,61.8392,59.0317,4.14827,66.7415
Delas,Red wine,Châteauneuf-du-Pape,France,Haute Pierre Châteauneuf-du-Pape,2017,4.2,201,77.99,80,37.8142,5.5069,43.0728
Château Certan de May,Red wine,Pomerol,France,Pomerol,2011,4.2,201,74.99,69.0583,51.238,4.80491,50.4381
Louis Latour,Red wine,Volnay Premier Cru,France,Volnay 1er Cru En Chevret,2011,4.2,187,74.95,32.4127,22.1807,6.78081,61.1241
Louis Latour,Red wine,Aloxe-Corton,France,Domaine Latour Aloxe-Corton,2015,4.2,179,75.99,27.7037,19.2657,3.41275,58.6505
Bodega Akutain,Red wine,Rioja,Spain,Gran Reserva,2004,4.2,179,79.99,60.3317,61.3278,2.71021,62.4887
Alain Voge,Red wine,Cornas,France,Les Vieilles Vignes Cornas,2015,4.2,154,79.99,80,46.4896,7.93888,52.6849
Château La Croix St. Georges,Red wine,Pomerol,France,Pomerol,2014,4.2,130,78.99,72.636,50.2879,10.8388,49.3704
Louis Latour,Red wine,Aloxe-Corton 1er Cru 'Les Chaillots',France,Aloxe-Corton 1er Cru 'Les Chaillots',2013,4.2,122,72.99,33.0135,25.5749,2.32062,60.8659
Joseph Drouhin,Red wine,Pommard,France,Pommard,2016,4.2,112,76.99,27.2321,22.661,1.8659,60.0621
Elderton,Red wine,Barossa Valley,Australia,Grand Tourer Shiraz (Neil Ashmead),2015,4.2,95,78.99,78.9227,40.5578,15.5483,39.038
Domaine des Croix,Red wine,Beaune 1er Cru 'Les Cent Vignes',France,Beaune Les Cents Vignes 1er Cru,2017,4.2,93,78.99,28.5035,12.8802,0,63.9915
Domaine Pierre Gelin,Red wine,Fixin 1er Cru 'Clos Napoléon',France,Fixin 1er Cru 'Clos Napoléon',2013,4.2,92,75.49,39.4502,29.1725,6.76579,68.8107
Weingut Netzl,Red wine,Carnuntum,Austria,Anna-Christina,2016,4.2,76,74.99,-1,-1,-1,-1
Bosquet des Papes,Red wine,Châteauneuf-du-Pape,France,Chante Le Merle Vieilles Vignes Châteauneuf-du-Pape,2009,4.2,76,78.99,80,39.9263,8.49308,42.0904
Ferrer Bobet,Red wine,Priorat,Spain,Priorat,2017,4.2,73,73.99,77.3712,46.1063,7.77419,50.0636
Domaine A. et P. de Villaine,Red wine,Côte Chalonnaise,France,La Digoine Bourgogne Côte Chalonnaise,2018,4.2,68,71.99,17.3006,17.4631,1.91471,59.0381
Celler Pasanau,Red wine,Priorat,Spain,Finca la Planeta,2013,4.2,67,76.99,80,54.0274,12.8145,53.6073
Domaine de Cristia,Red wine,Châteauneuf-du-Pape,France,Châteauneuf-du-Pape Renaissance,2016,4.2,66,72,80,34.9257,9.41197,37.8626
Chanson,Red wine,Gevrey-Chambertin,France,Gevrey-Chambertin,2016,4.2,61,70.99,42.5575,30.8126,1.95491,67.7546
Guiberteau,Red wine,Saumur,France,Les Chapaudaises Saumur Rouge,2017,4.2,60,76.99,-1,-1,-1,-1
By Farr,Red wine,Geelong,Australia,Sangreal Pinot Noir,2018,4.2,60,78.99,42.1913,8.77205,8.29779,49.736
Bodega Elias Mora,Red wine,Toro,Spain,Toro Gran Elías Mora,2014,4.2,55,78.99,77.5979,52.387,2.7969,30.6979
Bernard Burgaud,Red wine,Côte-Rôtie,France,Côte-Rôtie,2017,4.2,54,79.95,68.3029,63.4718,4.33412,61.4255
Château des Eyrins,Red wine,Margaux,France,Margaux,2014,4.2,53,71.39,60.9447,58.0659,0.703632,65.9886
Michel Gros,Red wine,Nuits-Saint-Georges,France,Nuits-Saint-Georges 'Les Chaliots',2017,4.2,50,79.99,36.5644,29.6357,6.11526,63.5328
Alain Jaume,Red wine,Châteauneuf-du-Pape,France,Domaine Grand Veneur Châteauneuf-Du-Pape Les Origines,2017,4.2,49,77.99,80,39.5599,9.99599,40.3979
Frédéric Magnien,Red wine,Morey-Saint-Denis Premier Cru,France,Morey-Saint-Denis Premier Cru Clos Sorbè,2014,4.2,48,74.95,33.9116,30.493,6.61769,63.1567
Guiberteau,Red wine,Saumur,France,Les Arboises Saumur Rouge,2016,4.2,44,77.66,-1,-1,-1,-1
Delas,Red wine,Saint-Joseph,France,Sainte-Épine Saint-Joseph,2014,4.2,42,76.99,69.136,47.4908,0.35164,51.1306
Hickinbotham,Red wine,McLaren Vale,Australia,The Revivalist Merlot,2015,4.2,40,74.99,63.1739,15.8078,3.62112,8.76708
Château des Eyrins,Red wine,Margaux,France,Margaux,2016,4.2,35,77.99,60.9447,58.0659,0.703632,65.9886
Bouchard Père & Fils,Red wine,Beaune Premier Cru,France,Beaune 1er Cru 'Clos de la Mousse' (Monopole),2017,4.2,34,79.49,30.9247,20.7784,4.55635,63.7905
Château Guadet,Red wine,Saint-Émilion Grand Cru,France,Saint-Émilion Grand Cru (Grand Cru Classé),2014,4.2,30,79.99,70.8808,48.8077,1.67141,48.6479
Domaine de Bellène,Red wine,Beaune Premier Cru,France,Vieilles Vignes Cuvée du Cinquantenaire Beaune Premier Cru,2017,4.2,28,74.99,34.3366,33.0527,8.278,62.0697
Louis Latour,Red wine,Morey-Saint-Denis,France,Morey-Saint-Denis,2015,4.2,27,78.99,39.6916,28.6114,0,71.1264
Delas,Red wine,Crozes-Hermitage,France,Le Clos Rouge Crozes-Hermitage,2017,4.2,26,75.99,60.8111,52.6944,7.51724,46.636
Château Sociando-Mallet,Red wine,Haut-Médoc,France,Haut-Médoc,2010,4.1,1757,77.99,70.3333,71.2616,4.69536,69.7867
Château Carbonnieux,Red wine,Pessac-Léognan,France,Pessac-Léognan,2010,4.1,1451,77.99,71.466,75.799,3.08048,70.9685
Château Gloria,Red wine,Saint-Julien,France,Saint-Julien,2015,4.1,1018,77.99,62.2512,61.484,4.24111,69.7696
Château Lynch-Moussas,Red wine,Pauillac,France,Pauillac (Grand Cru Classé),2012,4.1,981,79.95,70.8559,68.6842,2.38198,70.0924
Château d'Armailhac,Red wine,Pauillac,France,Pauillac (Grand Cru Classé),2015,4.1,759,73.99,70.6696,69.4454,4.95724,69.4392
Château Lagrange,Red wine,Saint-Julien,France,Saint-Julien (Grand Cru Classé),2016,4.1,653,75.99,59.6057,63.3324,4.47677,71.5148
Château Kirwan,Red wine,Margaux,France,Margaux (Grand Cru Classé),2014,4.1,611,75.99,60.0644,62.2885,2.33944,69.6827
Ventisquero,Red wine,Maipo Valley,Chile,Enclave Ultra Premium Cabernet Sauvignon,2012,4.1,544,79.99,69.2348,48.9422,12.5496,43.2118
Cos d'Estournel,Red wine,Saint-Estèphe,France,Pagodes de Cos,2014,4.1,540,72.99,71.7769,65.058,6.0423,65.3944
Château Nénin,Red wine,Pomerol,France,Pomerol,2012,4.1,523,76.99,68.849,52.2606,5.0272,52.2188
Château Branaire-Ducru,Red wine,Saint-Julien,France,Saint-Julien (Grand Cru Classé),2015,4.1,511,80,60.0524,63.0749,5.45358,69.8917
Château Beau-Sejour Becot,Red wine,Saint-Émilion Grand Cru,France,Saint-Émilion Grand Cru (Premier Grand Cru Classé),2014,4.1,491,75.99,69.773,51.7165,7.96599,50.6507
Herdade dos Grous,Red wine,Alentejano,Portugal,Alentejano Reserva Tinto,2011,4.1,464,79.99,70.4355,42.0481,7.36046,40.1797
Château La Pointe,Red wine,Pomerol,France,Pomerol,2015,4.1,463,71.99,71.0993,52.8816,7.93981,50.5689
Château Haut-Batailley,Red wine,Pauillac,France,Pauillac (Grand Cru Classé),2014,4.1,449,71.99,70.1571,70.4079,4.04765,70.7536
Château Grand Mayne,Red wine,Saint-Émilion Grand Cru,France,Saint-Émilion Grand Cru (Grand Cru Classé),2015,4.1,399,70.95,72.0027,52.8997,5.55977,48.7573
Château La Lagune,Red wine,Haut-Médoc,France,Haut-Médoc (Grand Cru Classé),2015,4.1,380,74.99,68.5349,69.2816,5.68719,69.5206
Château Dauzac,Red wine,Margaux,France,Margaux (Grand Cru Classé),2015,4.1,378,74.99,60.4257,60.0272,3.46936,69.5653
Château Villemaurine,Red wine,Saint-Émilion Grand Cru,France,Saint-Émilion Grand Cru (Grand Cru Classé),2015,4.1,335,74.99,71.8077,54.7708,6.04411,48.0463
Château Villemaurine,Red wine,Saint-Émilion Grand Cru,France,Saint-Émilion Grand Cru (Grand Cru Classé),2010,4.1,326,73.99,71.8077,54.7708,6.04411,48.0463
Leeuwin Estate,Red wine,Margaret River,Australia,Art Series Cabernet Sauvignon,2015,4.1,291,70.99,60.7877,51.8427,5.31651,51.3797
Montes Alpha,Red wine,Colchagua Valley,Chile,M Red,2016,4.1,278,79.99,80,54.851,8.54895,39.5271
Venus la Universal,Red wine,Montsant,Spain,Venus,2005,4.1,235,71.99,73.1365,49.0805,4.96194,50.3073
Château Barde-Haut,Red wine,Saint-Émilion Grand Cru,France,Saint-Émilion Grand Cru (Grand Cru Classé),2016,4.1,235,79.99,72.887,54.9355,5.43131,50.0977
Vincent Paris,Red wine,Cornas,France,Granit 30 Cornas,2018,4.1,218,71.99,80,48.7298,6.49208,54.0236
Château Le Crock,Red wine,Saint-Estèphe,France,Saint-Estèphe,2016,4.1,216,75.99,73.5181,72.6258,7.25635,70.1138
Marques de Vargas,Red wine,Rioja,Spain,Gran Reserva Rioja,2012,4.1,209,74.99,62.1075,59.005,12.1284,55.3696
Château Marquis d'Alesme,Red wine,Margaux,France,Margaux (Grand Cru Classé),2014,4.1,207,74.95,62.4022,61.5377,0.895453,67.8259
Chanson,Red wine,Gevrey-Chambertin,France,Gevrey-Chambertin,2012,4.1,205,79.99,42.5575,30.8126,1.95491,67.7546
Fabre Montmayou,Red wine,Lujan de Cuyo,Argentina,Grand Vin Mendoza,2015,4.1,188,75.99,79.4542,54.7515,9.25307,58.331
Château du Cèdre,Red wine,Cahors,France,Le Cèdre,2015,4.1,186,74.99,62.0241,49.0424,8.47955,44.0849
Baigorri,Red wine,Rioja,Spain,De Garage Rioja,2015,4.1,183,71.99,60.7221,65.2568,7.72872,58.4813
Château La Gaffelière,Red wine,Saint-Émilion Grand Cru,France,Dame Gaffelière Saint-Émilion Grand Cru,2014,4.1,162,76.95,69.3535,51.2367,3.85861,51.96
Château Pape Clément,Red wine,Pessac-Léognan,France,Clémentin de Pape Clément Pessac-Léognan,2015,4.1,155,71.95,70.2097,68.4762,3.56593,69.1417
Château La Nerthe,Red wine,Châteauneuf-du-Pape,France,Châteauneuf-du-Pape,1998,4.1,148,79.99,80,34.7151,4.75194,42.598
Château Tour Baladoz,Red wine,Saint-Émilion Grand Cru,France,Saint-Émilion Grand Cru,2014,4.1,148,77.95,72.4609,50.7871,0,50.1078
Lignier-Michelot,Red wine,Chambolle-Musigny,France,Vieilles Vignes Chambolle-Musigny,2014,4.1,132,77.66,37.5609,29.3664,13.7797,65.5286
Château de Marsannay,Red wine,Gevrey-Chambertin,France,Gevrey-Chambertin,2014,4.1,128,79.95,42.6506,32.6694,0,70.4918
Hudelot-Baillet,Red wine,Chambolle-Musigny,France,Chambolle-Musigny Vieille Vignes,2017,4.1,126,78.95,39.0083,29.8249,11.9143,72.203
Portia,Red wine,Ribera del Duero,Spain,Triennia,2014,4.1,107,71.99,65.4978,57.8556,14.3125,60.879
Bouchard Père & Fils,Red wine,Gevrey-Chambertin,France,Gevrey-Chambertin,2017,4.1,103,74.99,40.0569,30.7426,0,71.2019
David Duband,Red wine,Nuits-Saint-Georges,France,Nuits-Saint-Georges,2017,4.1,101,74.95,35.4723,28.7796,3.77492,68.2151
Château Bellefont-Belcier,Red wine,Saint-Émilion Grand Cru,France,Saint-Émilion Grand Cru (Grand Cru Classé),2012,4.1,92,73.99,70.8755,50.4074,10.1547,50.3534
Cillar de Silos,Red wine,Ribera del Duero,Spain,Flor de Silos Ribera del Duero,2011,4.1,87,71.99,69.4151,52.8542,10.0482,57.1301
Domaine Champet,Red wine,Côte-Rôtie,France,La Vialliére Côte-Rôtie,2016,4.1,86,74.99,73.9295,67.9962,8.90505,62.8258
Benjamin Leroux,Red wine,Savigny-lès-Beaune,France,Savigny-lès-Beaune,2017,4.1,83,70.99,31.1856,20.7658,0,64.772
Domaine Antonin Guyon,Red wine,Chambolle-Musigny,France,Chambolle-Musigny 'Les Cras',2012,4.1,80,71,35.7823,29.964,1.02278,67.8365
Contino,Red wine,Rioja,Spain,Rioja Garnacha,2015,4.1,75,74.99,55.9367,55.0171,7.36373,58.7462
Domaine Champet,Red wine,Côte-Rôtie,France,La Vialliére Côte-Rôtie,2018,4.1,71,79.99,73.9295,67.9962,8.90505,62.8258
Château Haut-Bages Libéral,Red wine,Pauillac,France,Pauillac (Grand Cru Classé),2018,4.1,68,75.95,70.9919,72.094,2.77279,70.9299
Bindi,Red wine,Macedon Ranges,Australia,Dixon Pinot Noir,2018,4.1,65,71.99,41.1888,10.7579,8.70332,53.9502
Thibault Liger-Belair,Red wine,Bourgogne Hautes-Côtes de Nuits,France,La Roche Hautes-Côtes de Nuits,2017,4.1,64,72.99,27.4646,23.7867,2.12729,66.3045
Château Bellefont-Belcier,Red wine,Saint-Émilion Grand Cru,France,Saint-Émilion Grand Cru (Grand Cru Classé),2014,4.1,63,73.99,70.8755,50.4074,10.1547,50.3534
Louis Jadot,Red wine,Gevrey-Chambertin,France,Gevrey Chambertin,2016,4.1,63,75.99,35.9704,27.8494,3.47655,68.2166
Domaine Taupenot-Merme,Red wine,Gevrey-Chambertin,France,Gevrey Chambertin,2016,4.1,61,77.66,40.5806,30.2156,7.15594,70.0655
Domaine de la Bégude,Red wine,Bandol,France,La Brulade Bandol,2015,4.1,60,75,-1,-1,-1,-1
Paul Jaboulet Aîné,Red wine,Cornas,France,Domaine de Saint Pierre Cornas,2016,4.1,57,76.99,80,47.2528,5.19097,52.4214
Château de Marsannay,Red wine,Marsannay,France,Les Echezots Marsannay,2017,4.1,51,79.99,39.2212,25.0663,0,69.2731
Michel Gros,Red wine,Nuits-Saint-Georges,France,Nuits-Saint-Georges,2017,4.1,51,74.99,39.6414,29.2607,6.79482,71.0691
Domaine Taupenot-Merme,Red wine,Chambolle-Musigny,France,Chambolle Musigny,2016,4.1,50,77.66,35.1844,29.8474,2.02823,68.9432
Pascal Marchand-Tawse,Red wine,Nuits-Saint-Georges,France,Nuits-Saint-Georges,2016,4.1,46,79,41.4488,31.85,0,73.2432
Wirra Wirra,Red wine,McLaren Vale,Australia,Dead Ringer Cabernet Sauvignon,2013,4.1,43,79.99,63.784,57.8606,17.389,54.1442
Leroy,Red wine,Bourgogne,France,Bourgogne Gamay,2019,4.1,42,75.99,24,20.3278,0,67.9361
Pascal Marchand-Tawse,Red wine,Gevrey-Chambertin,France,Gevrey-Chambertin,2017,4.1,41,79.99,36.5337,33.6332,2.00742,69.556
