winery,wine_type,city,country,wine_name,year,overall_rating,overall_rating_count,price,light_bold,smooth_tannic,dry_sweet,soft_acidic
Beringer,Red wine,Howell Mountain,United States,Single Vineyard Bancroft Ranch Merlot,1996,4,35,79.99,65.621,19.3312,13.7765,8.66987
Roar,Red wine,Santa Lucia Highlands,United States,Rosella's Vineyard Pinot Noir,2016,4,34,67.4,42.258,16.0971,6.05769,55.8901
Produttori del Barbaresco,Red wine,Barbaresco,Italy,Barbaresco,1976,4,32,50,59.4031,68.5528,0.907855,80
Fontodi,Red wine,Colli della Toscana Centrale,Italy,Dino,2015,4,32,78,47.1785,45.9094,13.2262,53.3713
Cline,Red wine,Contra Costa County,United States,Small Berry Mourvèdre,2015,4,32,70,80,53.0927,9.59051,57.7344
Agostina Pieri,Red wine,Brunello di Montalcino,Italy,Brunello di Montalcino,1999,4,30,51.95,44.3758,53.5561,0,59.5911
Doffo,Red wine,Temecula Valley,United States,Malbec,2017,4,30,72,66.6606,28.1728,18.8899,31.8372
The Setting,Red wine,Alexander Valley,United States,Cabernet Sauvignon,2016,4,30,83.95,80,56.7869,10.0595,41.7036
Red Car,Red wine,Sonoma Coast,United States,Platt Vineyard Pinot Noir,2012,4,30,70.99,37.6168,14.2634,0,55.5454
Gary Farrell,Red wine,Santa Maria Valley,United States,Bien Nacido Vineyard Pinot Noir,2017,4,28,70,36.5786,14.1408,2.16068,56.3437
Reynvaan,Red wine,Walla Walla Valley,United States,In The Hills Estate Syrah,2014,4,27,78.35,64.5714,49.131,4.94615,51.7375
Varozza,Red wine,St. Helena,United States,Cabernet Sauvignon,2004,4,27,80,80,48.0157,3.57065,48.5856
Produttori del Barbaresco,Red wine,Barbaresco,Italy,Barbaresco,1979,4,25,50,59.4031,68.5528,0.907855,80
Conti Costanti,Red wine,Brunello di Montalcino,Italy,Brunello di Montalcino,2000,4,25,99.99,44.6952,54.3483,5.18012,63.2007
Weingut Gottardi,Red wine,Südtirol - Alto Adige,Italy,Südtiroler Blauburgunder Mazzon,2014,3.9,455,42.79,28.9053,22.4345,2.93856,62.1297
Ricasoli,Red wine,Chianti Classico,Italy,Castello di Brolio Gran Selezione Chianti Classico,2012,3.9,401,67.99,46.4708,43.3225,6.30858,50.3769
Kicker Cane,Red wine,Sonoma County,United States,Napa County - Sonoma County Cabernet Sauvignon,2017,3.9,359,52.5,80,49.282,3.98999,40.6786
Feudi di San Gregorio,Red wine,Irpinia,Italy,Serpico,2003,3.9,332,125,80,44.5261,26.0625,25.7569
Le Piane,Red wine,Boca,Italy,Boca,2006,3.9,206,89.95,59.9371,42.9482,11.8592,32.6463
Comm. G.B. Burlotto,Red wine,Barolo,Italy,Barolo,2013,3.9,200,79.95,56.6215,75.1365,2.11706,79.298
Apriori,Red wine,Napa Valley,United States,Proprietary Red,2015,3.9,197,29.99,80,52.2667,0,60.4039
Tornatore,Red wine,Etna,Italy,Pietrarizzo Etna Rosso,2015,3.9,173,38.99,72.1801,41.6266,14.3738,34.2279
Brigaldara,Red wine,Amarone della Valpolicella,Italy,Amarone della Valpolicella,2013,3.9,134,73,80,22.318,38.8572,21.6648
Petra,Red wine,Toscana,Italy,Potenti Toscana (Suvereto),2015,3.9,133,74.95,52.3908,41.6435,8.71309,46.5715
Silver Stag,Red wine,Napa Valley,United States,Cabernet Sauvignon,2015,3.9,108,79,80,50.9894,4.46667,49.8222
Rutherford Ranch,Red wine,Rutherford,United States,Estate Vineyards Cabernet Sauvignon,2017,3.9,81,79,80,47.9517,0,49.986
San Fereolo,Red wine,Langhe,Italy,Il Provinciale,2013,3.9,64,72,58.0227,75.4985,1.83761,79.003
Testalonga,Red wine,Dolceacqua,Italy,Rossese di Dolceacqua,2018,3.9,58,78,63.7127,39.7859,7.76567,37.9062
Marchesi di Barolo,Red wine,Barolo,Italy,Coste di Rose Barolo,2006,3.9,41,96.99,58.4798,72.1282,7.01167,78.722
Lobo,Red wine,Napa Valley,United States,Wulff Vineyards Pinot Noir,2013,3.9,28,80,51.6856,13.6856,0,55.1881
Stony Hill,Red wine,Napa Valley,United States,Cabernet Sauvignon,2014,3.9,27,74.99,61.1361,54.4941,0,61.1908
West Wines,Red wine,Dry Creek Valley,United States,Reserve Cabernet Sauvignon,2008,3.9,26,79,80,62.0743,0.916958,43.2142
Arrowood,Red wine,Sonoma Valley,United States,Réserve Spéciale Cabernet Sauvignon,2011,3.9,26,98.99,80,52.3111,5.80939,39.968
Marcarini,Red wine,Barolo,Italy,La Serra Barolo,2016,3.9,25,47.99,56.819,74.5605,2.18065,80
Clos du Val,Red wine,Napa Valley,United States,Cabernet Sauvignon,2010,3.8,1185,129.99,80,50.5403,4.22975,51.1616
Rodney Strong,Red wine,Alexander Valley,United States,Estate Cabernet Sauvignon,2012,3.8,549,20.99,80,50.4434,1.45162,40.1536
Carol Shelton,Red wine,Mendocino County,United States,Wild Thing Old Vine Zinfandel,2012,3.8,429,18.99,80,27.4741,30.5939,12.1105
San Fereolo,Red wine,Langhe,Italy,Red,2010,3.8,198,77,61.7772,45.7685,14.6777,28.2373
Goldschmidt Vineyards,Red wine,Alexander Valley,United States,Fidelity Crazy Creek Estate Merlot - Cabernet Sauvignon,2012,3.8,133,15.99,80,55.355,0,63.0474
Calluna Vineyards,Red wine,Chalk Hill,United States,Calluna Vineyards Cuvée (CVC),2014,3.8,96,29.98,80,63.7588,0,61.7227
Pasquale Pelissero,Red wine,Barbaresco,Italy,Bricco San Giuliano Barbaresco,2008,3.8,75,36.99,61.0026,65.8737,4.32094,80
Serre dei Roveri,Red wine,Barolo,Italy,Barolo,2010,3.8,55,75,63.3257,70.306,2.6178,74.4632
San Fereolo,Red wine,Langhe,Italy,Il Provinciale,2014,3.8,55,75,58.0227,75.4985,1.83761,79.003
Bindella - Tenuta Vallocaia,Red wine,Vino Nobile di Montepulciano,Italy,I Quadri Vino Nobile di Montepulciano,2016,3.8,48,70.07,53.4945,60.4835,0,62.1874
Giuseppe Rinaldi,Red wine,Vino d'Italia,Italy,Rosae Rosso,2017,3.8,46,75,53.0687,38.6217,14.208,32.2855
Force Majeure,Red wine,Red Mountain,United States,Ciel du Cheval Vineyard Collaboration Series I,2011,3.8,40,74.99,65.2355,53.8416,7.51671,63.9637
Rodney Strong,Red wine,Russian River Valley,United States,Reserve Pinot Noir,2015,3.8,32,74.99,46.32,17.0947,4.35999,49.105
Barons Winery,Red wine,Columbia Valley,United States,Cabernet Sauvignon,2008,3.8,29,75,67.4351,68.4308,0.527697,64.957
